Source Page,Link,Status,Link Text
"https://test-ufl.pantheonsite.io","https://twitter.com/search?f=tweets&vertical=default&q=urbanafree",403,""
"https://test-ufl.pantheonsite.io/using-library/collections","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.1&type=Boolean&term=col=urcvoxbk&by=KW&sort=TI&limit=&query=&page=0",404,"VOX Book"
"https://test-ufl.pantheonsite.io/using-library/collections","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.1&type=Boolean&term=col=urcvoxbk&by=KW&sort=TI&limit=&query=&page=0&searchid=4",404,"s"
"https://test-ufl.pantheonsite.io/using-library/collections","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.1&type=Boolean&term=col=urcvoxbk&by=KW&sort=TI&limit=&query=&page=0&searchid=3",404,"LEARN MORE"
"https://test-ufl.pantheonsite.io/using-library/parents-teachers","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Keyword&term=hands-on%20kits&by=KW&sort=RELEVANCE&limit=TOM=*%20AND%20AB=6&query=&page=0&searchid=8",404,"Hands-on Literacy and Math Kits"
"https://test-ufl.pantheonsite.io/using-library/parents-teachers","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Keyword&term=exploration%20kit&by=KW&sort=RELEVANCE&limit=TOM=*&query=&page=0",404,"Exploration Kits"
"https://test-ufl.pantheonsite.io/using-library/parents-teachers","https://search.ebscohost.com/Community.aspx?authtype=ip&amp;ugt=725771266C26651767E6651632252EE265D36113689366E329E33913390335&amp;IsAdminMobile=N&amp;encid=22D731263C3635873776359632953C17358371C378C376C379C379C379C375C33013&amp;selectServicesToken=AxgzuOKjQ1XILWFjWMM3mZtikxn6Ia_MVJEAiESGFVndJ2FFsDkugHYc4Ov52-VHMYQOuUTkguYcbIW7Xeu-mAwqOhhAGvBoLH5lgs6iCrt0V4GhwzFPUDNPxG2mqO9-_IV7EcNut7iFY6QwXPdcUFZbHsdWNDY2RnFi1o1NUvMkx_wgWObZyyWBVWJOPKBueBRefqPHIRPeJLqQolaokEvl9Ph_Xfx_7KuYVVTiLhNjIU9t_2nlrwxS4eahqk0n_S-gI2nC1OpcxFP4RFzESxkCYINDL01DM-Mww6ujVHY",500,"Novelist K-8"
"https://test-ufl.pantheonsite.io/ebooks-more","https://nam10.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.tumblebooklibrary.com%2Fautologin.aspx%3Fuserid%3DqSLh%252bOvanElYJAS9sC8J6g%253d%253d&data=05%7C02%7Crbarnes%40urbanafree.org%7C3574c96c4eca4ffe14a208def965d4a7%7C7866e27582bd4af2bbef4c64553ac2b9%7C0%7C0%7C639222412926661820%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=cviffxv9BZb0Bn6ZT0ddfS45oV%2Bf81DW3XaKhFt1ub8%3D&reserved=0",500,"Tumblebooks"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://www.familysearch.org/",FAILED,""
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://proxy.urbanafree.org/login?url=https://libraries.mangolanguages.com/urbana/start",FAILED,""
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://proxy.urbanafree.org/login?url=http://search.ebscohost.com/",FAILED,"Consumer Reports"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://dailyillini.com/",403,"Daily Illini"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://search.ebscohost.com/login.aspx?authtype=ip,uid&groupid=main&custid=urbana2",500,"WATCH THE TUTORIAL"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://proxy.urbanafree.org/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&groupid=main&custid=urbana2&profile=ehost&db=8gh",FAILED,"EBSCO Green File"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://proxy.urbanafree.org/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&groupid=main&custid=urbana2&profile=ehost&db=f6h",FAILED,"EBSCO MasterFILE Complete"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://proxy.urbanafree.org/login?url=https://search.ebscohost.com/login.aspx?authtype=ip,uid&groupid=main&custid=urbana2&profile=ehost&db=lxh",FAILED,"EBSCO Library, Infoscience & Technology Abstracts"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","http://idnc.library.illinois.edu/cgi-bin/illinois?a=p&p=home&e=-------en-20--1--txt-txIN--------",403,"Illinois Digital Newspaper Collections"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://www.indeed.com/",403,"Indeed.com"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","http://proxy.urbanafree.org/login?url=http://search.ebscohost.com",FAILED,"EBSCO Teacher Reference Center"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://www.linkedin.com/learning-login/go/cucatalog",429,"LinkedIn Learning"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","http://proxy.urbanafree.org/login?url=https://fold3library.proquest.com/?accountid=47026",FAILED,"Fold3"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://research.ebsco.com/c/wylfbt?db=8gh,e864sww,e869sww,sch,trh,tol",FAILED,"Explora"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://proxy.urbanafree.org/login?url=https://newspaperslibrary.proquest.com/?accountid=47026",FAILED,"Newspapers.com - World Edition (by Ancestry)"
"https://test-ufl.pantheonsite.io/ebooks-more/research-learn","https://login.proxy.urbanafree.org/login?qurl=http%3a%2f%2fsearch.ebscohost.com",FAILED,"Science Reference Center"
"https://test-ufl.pantheonsite.io/about-us/bids-rfps","https://procurement.opengov.com/portal/urbanaillinois",403,"To learn more click here."
"https://test-ufl.pantheonsite.io/about-us/bids-rfps","https://www2.illinois.gov/idol/Laws-Rules/CONMED/Pages/prevailing-wage-act.aspx",404,"the Illinois Department of Labor’s website"
"https://test-ufl.pantheonsite.io/about-us/bids-rfps","https://www.urbanaillinois.us/bids-rfps",FAILED,"visit the City of Urbana’s website for more information"
"https://test-ufl.pantheonsite.io/about-us/foundation","https://app.candid.org/profile/7518962/urbana-free-library-foundation/?pkId=d6d8f64d-1427-4129-b48f-f6862b590ea4&isActive=true",403,"here"
"https://test-ufl.pantheonsite.io/about-us/foundation","https://app.candid.org/profile/7518962/urbana-free-library-foundation-37-1347187",403,""
"https://test-ufl.pantheonsite.io/about-us/volunteer","https://forms.office.com/r/3We50d6ykS",405,"Click here"
"https://test-ufl.pantheonsite.io/about-us/volunteer","https://www.volunteermatch.org/search/?l=Urbana,%20IL,%20USA",404,"volunteermatch.org"
"https://test-ufl.pantheonsite.io/foia","http://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=85&ChapterID=2",FAILED,"Illinois Freedom of Information Act"
"https://test-ufl.pantheonsite.io/foia","https://www.urbanaillinois.us/government/finance/financial-reports/library-audit-reports",FAILED,"Audit reports"
"https://test-ufl.pantheonsite.io/foia","https://urbanaillinois.us/node/9010",FAILED,"IMRF Employer Cost & Participation Information | City of Urbana (urbanaillinois.us)"
"https://test-ufl.pantheonsite.io/using-library/collections/video-game","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Boolean&term=COL=%22urnvg%22&by=KW&sort=TI&limit=&query=&page=0&searchid=1",404,"Video Game Collection"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Boolean&term=COL=urndvin&by=KW&sort=TI&limit=&query=&page=0",404,"International Language DVDs"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Keyword&term=film%20movement%20firm&by=AU&sort=RELEVANCE&limit=TOM=dvd&query=&page=0",404,"Film Movement"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Boolean&term=%28MAT=9%20OR%20MAT=14%29%20AND%20SE=%27Criterion%20Collection%27&by=KW&sort=TI&limit=&query=&page=0",404,"The Criterion Collection"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Keyword&term=wholphin&by=TI&sort=RELEVANCE&limit=TOM=dvd&query=&page=0",404,"Wholphin"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Boolean&term=MAT=40%20AND%20COL=urndvde&by=KW&sort=RELEVANCE&limit=&query=&page=0",404,"New Non-Fiction DVDs"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Boolean&term=MAT=14%20AND%20COL=urndvd&by=KW&sort=CALL&limit=&query=&page=0",404,"New Entertainment DVDs"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Keyword&term=roger%20ebert%27s%20film%20festival.&by=KW&sort=RELEVANCE&limit=TOM=*&query=&page=0",404,"Roger Ebert's Film Festival"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Boolean&term=MAT=14%20AND%20COL=urndvin&by=KW&sort=CALL&limit=&query=&page=0",404,"New International DVDs"
"https://test-ufl.pantheonsite.io/using-library/collections/movies","https://cucatalog.org/polaris/search/searchresults.aspx?ctx=6.1033.0.0.7&type=Boolean&term=MAT=14%20AND%20COL=urndvtv&by=KW&sort=CALL&limit=&query=&page=0",404,"New Television DVDs"
